SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
21STCENMGM,EQ,20.1,20.1,20.1,20.1,20.1,19.75,9094,182789.4,16-NOV-2023,9,INE253B01015
360ONE,EQ,561.0,570.0,540.05,543.1,544.0,560.15,1136970,635254336.95,16-NOV-2023,13804,INE466L01038
3IINFOLTD,EQ,36.15,37.8,36.1,36.9,36.9,36.2,891336,32822865.8,16-NOV-2023,4311,INE748C01038
3MINDIA,EQ,31104.0,31487.85,30602.0,30706.15,30666.0,31147.6,2816,87343515.55,16-NOV-2023,1784,INE470A01017
3PLAND,EQ,28.8,29.3,27.75,28.45,29.3,28.15,29948,849356.8,16-NOV-2023,676,INE105C01023
5PAISA,EQ,441.05,461.95,439.25,451.95,452.95,439.15,167205,75901450.4,16-NOV-2023,11147,INE618L01018
63MOONS,EQ,319.95,333.2,317.55,331.75,333.2,317.35,375692,123683535.55,16-NOV-2023,13148,INE111B01023
AAATECH,EQ,65.0,74.35,64.1,72.3,71.6,64.3,633637,45431739.15,16-NOV-2023,5156,INE0D0U01013
AAKASH,EQ,7.05,7.1,6.95,7.05,7.05,7.1,425699,2992250.5,16-NOV-2023,792,INE087Z01024
AARON,EQ,268.0,268.0,258.1,263.5,263.2,266.8,12416,3253796.9,16-NOV-2023,975,INE721Z01010
AARTIDRUGS,EQ,479.0,483.95,470.05,473.65,475.9,477.25,164947,78661033.7,16-NOV-2023,9015,INE767A01016
AARTIIND,EQ,525.8,534.8,522.3,525.25,524.0,522.65,2153045,1134233624.7,16-NOV-2023,35816,INE769A01020
AARTIPHARM,EQ,392.0,404.4,388.35,401.35,401.2,392.0,114295,45394023.65,16-NOV-2023,7995,INE0LRU01027
AARTISURF,EQ,624.0,627.7,617.0,625.95,626.95,623.5,7322,4566380.6,16-NOV-2023,1278,INE09EO01013
AARVEEDEN,EQ,24.3,24.35,23.7,23.9,24.25,24.25,65292,1567347.9,16-NOV-2023,742,INE273D01019
AARVI,EQ,121.7,124.9,121.7,122.55,124.9,121.65,16514,2021960.0,16-NOV-2023,440,INE754X01016
AAVAS,EQ,1489.9,1499.85,1476.0,1488.95,1493.85,1489.85,141708,211096184.55,16-NOV-2023,17768,INE216P01012
ABB,EQ,4285.0,4286.9,4210.05,4232.75,4230.0,4258.8,130755,553113622.25,16-NOV-2023,18763,INE117A01022
ABBOTINDIA,EQ,22930.0,23345.45,22896.1,23293.55,23320.25,22926.25,23823,549185818.25,16-NOV-2023,3774,INE358A01014
ABCAPITAL,EQ,181.95,182.8,180.5,181.2,181.2,181.7,2628895,477199053.45,16-NOV-2023,24493,INE674K01013
ABFRL,EQ,216.5,216.95,214.8,215.35,215.05,215.15,1440795,311023828.35,16-NOV-2023,10639,INE647O01011
ABSLAMC,EQ,457.0,459.5,451.8,454.35,454.8,453.95,80304,36588133.25,16-NOV-2023,3513,INE404A01024
ABSLBANETF,EQ,45.15,45.15,44.21,44.6,44.57,44.52,12304,549772.61,16-NOV-2023,363,INF209KB17D5
ABSLLIQUID,EQ,1000.0,1000.01,999.99,1000.0,1000.0,1000.01,5273,5273003.31,16-NOV-2023,10,INF209KB18T9
ABSLNN50ET,EQ,48.1,48.1,47.67,48.0,48.0,47.78,1873,89725.89,16-NOV-2023,98,INF209KB16D7
ACC,EQ,1843.0,1853.8,1835.4,1844.85,1844.0,1836.35,215184,396966223.65,16-NOV-2023,12469,INE012A01025
ACCELYA,EQ,1365.1,1427.7,1355.0,1398.4,1410.0,1367.45,40376,56624327.1,16-NOV-2023,6016,INE793A01012
ACCURACY,EQ,9.8,9.9,9.55,9.75,9.7,9.75,485694,4723204.55,16-NOV-2023,959,INE648Z01023
ACE,EQ,875.8,895.0,869.8,872.35,869.8,869.8,247845,218894037.25,16-NOV-2023,14054,INE731H01025
ACEINTEG,EQ,35.4,35.4,33.65,34.15,35.15,34.2,10710,369501.4,16-NOV-2023,590,INE543V01017
ACI,EQ,531.9,534.9,528.55,530.7,528.8,528.7,205682,109068493.1,16-NOV-2023,15491,INE128X01021
ACL,EQ,97.65,99.4,95.5,97.75,98.0,97.25,24679,2411966.95,16-NOV-2023,712,INE666E01020
ADANIENSOL,EQ,754.0,757.35,737.85,747.2,740.0,754.35,388858,291835677.55,16-NOV-2023,16436,INE931S01010
ADANIENT,EQ,2226.0,2232.8,2196.1,2205.9,2203.0,2225.4,1307584,2891620666.8,16-NOV-2023,73917,INE423A01024
ADANIGREEN,EQ,948.0,949.5,939.35,941.35,940.0,950.15,353018,332684761.2,16-NOV-2023,14863,INE364U01010
ADANIPORTS,EQ,814.4,818.4,808.1,813.6,814.0,810.75,1689762,1375310877.75,16-NOV-2023,56941,INE742F01042
ADANIPOWER,EQ,390.2,395.2,386.3,389.55,388.85,391.0,13220902,5172636264.75,16-NOV-2023,76913,INE814H01011
ADFFOODS,EQ,219.95,221.9,217.5,218.85,219.0,219.25,112233,24651981.9,16-NOV-2023,3871,INE982B01027
ADORWELD,EQ,1501.35,1619.0,1495.05,1584.5,1577.85,1484.2,367911,583082888.4,16-NOV-2023,33865,INE045A01017
ADSL,EQ,120.0,122.1,118.2,118.9,119.0,119.75,201649,24175493.1,16-NOV-2023,2188,INE102I01027
