SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
21STCENMGM,EQ,18.7,18.7,18.7,18.7,18.7,18.35,617,11537.9,10-NOV-2023,5,INE253B01015
360ONE,EQ,543.8,544.85,538.15,542.8,542.85,545.65,142699,77358028.45,10-NOV-2023,4478,INE466L01038
3IINFOLTD,EQ,35.95,36.2,35.2,35.4,35.3,35.95,557468,19840273.5,10-NOV-2023,4348,INE748C01038
3MINDIA,EQ,31726.0,32409.35,31350.05,31558.0,31545.0,31726.55,6310,201366101.45,10-NOV-2023,3024,INE470A01017
3PLAND,EQ,29.0,29.8,28.3,28.6,28.95,29.05,20362,587195.25,10-NOV-2023,484,INE105C01023
5PAISA,EQ,440.95,450.0,434.3,438.2,440.5,439.35,43294,18943482.7,10-NOV-2023,3445,INE618L01018
63MOONS,EQ,298.75,298.75,292.95,298.75,298.75,284.55,646315,192997476.6,10-NOV-2023,2556,INE111B01023
AAATECH,EQ,66.0,66.0,63.6,64.1,64.1,64.85,15034,967414.15,10-NOV-2023,619,INE0D0U01013
AAKASH,EQ,7.2,7.3,7.0,7.05,7.1,7.05,553629,3925774.4,10-NOV-2023,742,INE087Z01024
AARON,EQ,260.55,270.0,260.3,261.45,263.5,263.0,7817,2064404.6,10-NOV-2023,544,INE721Z01010
AARTIDRUGS,EQ,483.05,483.45,478.0,481.45,482.45,483.45,77429,37281560.0,10-NOV-2023,5059,INE767A01016
AARTIIND,EQ,508.35,512.0,501.85,511.15,510.8,508.3,806065,408512300.05,10-NOV-2023,15878,INE769A01020
AARTIPHARM,EQ,390.7,397.45,388.6,393.35,394.0,389.7,102657,40445610.85,10-NOV-2023,7418,INE0LRU01027
AARTISURF,EQ,622.0,629.85,612.7,618.6,615.4,622.55,10210,6349088.85,10-NOV-2023,1220,INE09EO01013
AARVEEDEN,EQ,24.35,24.75,23.75,24.35,24.05,24.1,4323,104871.05,10-NOV-2023,119,INE273D01019
AARVI,EQ,122.5,125.95,113.0,114.75,115.2,124.05,94588,11055635.4,10-NOV-2023,2597,INE754X01016
AAVAS,EQ,1461.45,1479.8,1446.8,1468.95,1477.6,1460.05,55245,80976776.8,10-NOV-2023,6178,INE216P01012
ABB,EQ,4328.0,4382.95,4223.0,4239.3,4250.0,4310.5,640836,2759599001.8,10-NOV-2023,66083,INE117A01022
ABBOTINDIA,EQ,23879.45,24142.9,23505.05,23705.65,23680.0,23879.45,13934,331535019.25,10-NOV-2023,5691,INE358A01014
ABCAPITAL,EQ,173.5,175.5,172.0,175.05,175.5,173.95,1584858,275898589.5,10-NOV-2023,15689,INE674K01013
ABFRL,EQ,208.25,218.3,208.25,216.6,216.0,215.0,5179169,1112540649.7,10-NOV-2023,35208,INE647O01011
ABSLAMC,EQ,458.95,458.95,452.0,454.95,455.2,455.85,47985,21804358.15,10-NOV-2023,1968,INE404A01024
ABSLBANETF,EQ,44.42,44.42,43.75,44.19,44.2,44.02,47163,2081269.22,10-NOV-2023,283,INF209KB17D5
ABSLLIQUID,EQ,999.99,1000.01,999.99,1000.0,1000.0,999.99,488,487996.81,10-NOV-2023,11,INF209KB18T9
