SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
21STCENMGM,EQ,19.75,19.75,19.75,19.75,19.75,19.4,1150,22712.5,15-NOV-2023,11,INE253B01015
360ONE,EQ,543.7,568.45,543.0,560.15,560.05,541.85,460958,257624368.15,15-NOV-2023,22960,INE466L01038
3IINFOLTD,EQ,36.9,37.1,35.85,36.2,36.0,36.7,821428,29953721.45,15-NOV-2023,3690,INE748C01038
3MINDIA,EQ,31350.05,31500.0,31040.0,31147.6,31125.0,31256.6,948,29641350.65,15-NOV-2023,740,INE470A01017
3PLAND,EQ,29.05,29.95,27.5,28.15,28.1,28.55,17991,514837.0,15-NOV-2023,250,INE105C01023
5PAISA,EQ,445.05,449.95,437.6,439.15,438.6,439.35,84412,37292566.3,15-NOV-2023,6053,INE618L01018
63MOONS,EQ,302.1,323.15,302.1,317.35,317.55,307.8,433055,137674670.8,15-NOV-2023,5964,INE111B01023
AAATECH,EQ,66.8,66.8,63.55,64.3,63.8,64.75,45759,2945946.65,15-NOV-2023,1781,INE0D0U01013
AAKASH,EQ,7.3,7.3,7.0,7.1,7.15,7.25,336873,2396668.4,15-NOV-2023,939,INE087Z01024
AARON,EQ,269.5,270.0,264.0,266.8,268.05,266.8,7289,1949711.7,15-NOV-2023,484,INE721Z01010
AARTIDRUGS,EQ,482.05,489.95,472.2,477.25,478.0,481.1,161577,77909990.95,15-NOV-2023,7545,INE767A01016
AARTIIND,EQ,522.0,524.45,518.0,522.65,522.2,517.9,1359068,709152469.25,15-NOV-2023,24600,INE769A01020
AARTIPHARM,EQ,396.0,396.0,390.3,392.0,391.05,391.8,94959,37260916.35,15-NOV-2023,5949,INE0LRU01027
AARTISURF,EQ,630.0,634.75,618.35,623.5,622.5,624.1,9226,5761935.3,15-NOV-2023,1704,INE09EO01013
AARVEEDEN,EQ,24.6,24.6,24.0,24.25,24.35,24.4,47391,1152616.05,15-NOV-2023,584,INE273D01019
