SYMBOL,TIMESTAMP,CLOSE,TOTTRDQTY,moving_average
BCLIND,16-NOV-2023,54.65,1738578,35.875
BDL,16-NOV-2023,1107.45,640710,581.0500000000001
BECTORFOOD,16-NOV-2023,1287.65,190114,1197.5500000000002
BEML,16-NOV-2023,2245.85,76297,1194.225
BERGEPAINT,16-NOV-2023,578.25,359440,335.025
BFUTILITIE,16-NOV-2023,624.55,57575,322.30499999999995
BHAGCHEM,16-NOV-2023,1601.0,9323,839.4
BHARATFORG,16-NOV-2023,1057.25,614110,601.9
BHARATRAS,16-NOV-2023,9027.5,337,4570.95
BHARTIARTL,16-NOV-2023,949.55,5310736,615.25
BIGBLOC,16-NOV-2023,154.55,39830,146.60000000000002
BIKAJI,16-NOV-2023,549.1,820587,351.82500000000005
BIRLACABLE,16-NOV-2023,272.6,54043,160.825
BIRLACORPN,16-NOV-2023,1275.25,33865,773.925
BLAL,16-NOV-2023,158.3,69574,137.325
BLISSGVS,16-NOV-2023,128.3,868241,75.15
BLS,16-NOV-2023,269.45,849130,167.225
BLUEDART,16-NOV-2023,6860.0,8263,3564.725
BLUESTARCO,16-NOV-2023,967.85,161974,678.5
BOMDYEING,16-NOV-2023,158.0,1663501,116.2
BOROLTD,16-NOV-2023,404.85,73729,281.425
BORORENEW,16-NOV-2023,421.65,180667,413.25
BOSCHLTD,16-NOV-2023,20589.15,72642,10505.400000000001
BRIGADE,16-NOV-2023,714.6,194150,556.625
BRITANNIA,16-NOV-2023,4702.1,178375,2708.3500000000004
BSE,16-NOV-2023,2326.25,1882695,1183.775
BSLSENETFG,16-NOV-2023,64.57,1935,43.504999999999995
BSOFT,16-NOV-2023,619.0,2912928,341.78499999999997
BUTTERFLY,16-NOV-2023,1060.0,8204,534.2
CAMLINFINE,16-NOV-2023,132.9,864118,73.125
CAMPUS,16-NOV-2023,258.0,470867,195.45
CAMS,16-NOV-2023,2839.7,713903,1548.85
CANFINHOME,16-NOV-2023,749.5,176802,577.725
